"","번호","계정이름","작성일","내용"
"316",316,"mr_neighbor1","7/30/2012","북한 김씨왕조를 따르며 수단과 방법을 가리지 않는 종북당 국회의원들의 태도가 변하지 않는 것은 그들이 가진 기득권에 집착해  북한의 실체와 그 진실에 대해 밝히기를 꺼려하기 때문이라네요. 주사파에 전향한 북한 인권운동가  김영환 얘기..."
"317",317,"odettejoo","7/30/2012","북한 인민들.....이들의 인권, 이들의 생존권...이들의 천부적 자연권을 눈 감으면서, 진보를 얘기하는 것은 다 허상이고, 위선일 수 밖에 없다."
"318",318,"type0789","7/30/2012","RT @###e0789: RT @###holykorea: 從北(종북)세력은 자유민주주의 체제의 위협이 된다는 점에서 반국가적일 뿐 아니라 700만 한민족 학살의 원흉인 김일성 왕조를 따른다는 점에서 패륜.."
"319",319,"dinghoa","7/31/2012","부정경선으로 비례대표된 두년놈이 버틴다. 그들의 공로로 이땅에 진보는 사라졌다. 종북만 남을뿐... 예전에 심상정, 노회찬이 민노당에서 탈당할때 알아봤어야 하는데... 워낙 수악한 놈들이라 지하에서 활동하다보니 국민들이 너무 몰랐네."
"320",320,"dinghoa","7/31/2012","김영환의 전기고문을 지켜봐야만 하는가? 종북세력들은 느끼는 것이 없는가? 같은 주사파 출신 이석기는 무엇을 느끼고 있을까..."
"321",321,"jaboni46","7/31/2012","과거의 사상을 과감히 버리고 북한민주화를 위해 온갖 노고를 겪은김영환의 무사 귀환을 적극적으로 환영하며 북한 또는 국내 종북세력의 테러에 대비해 당국은 김영환의 신변 안전에 각별히 신경을 써야 할 것입니다."
"322",322,"kiminhye0","7/31/2012","과거 종북좌익세력들은 민주화운동세력으로 위장했으나, 이제는 그들의 활동이 공산주의혁명운동이라는 사실을 숨기지 않는다. 이들의 사상적 근간은 주체사상과 이미 폐기처분된 맑스레닌주의이며 그 뒤에는 바로 북한이 있다"
"323",323,"kiminhye0","7/31/2012","2000년 이후 대법원에 의해 이적단체로 판결받은 단체는 남북공동선언실천연대, 한국청년단체협의회, 범민련 남측본부, 한총련, 진보와 통일로 가는 서울민주노동 자회(서민노회) 등 15개나 된다"
"324",324,"odettejoo","7/31/2012","중국이 고문사실을 인정하지 않는건 예상밖의 일은 아니다.. 북한으로 탈북자를 강제북송시켜버리는 것들이다..때만되면 인권을 거들먹 거리면서 나오던 종북단체들.. 왜 종용한것인가? 인간의 기본권인 인권을 두고 가려가면서 대응하는것인가?? 비겁하다."
"325",325,"odettejoo","7/31/2012","종북단체들~~ 김영환씨 전기고문당하고 구타로 당했다는데...때마다 그 잘난 인권 운운하더니만..왜 가만히 있는가? 한민국 국민은 알고 있지. 중국과 북한은 무슨 짓거리를 해도 무죄라는 참여연대의 정체를!!"
"326",326,"odettejoo","7/31/2012","대법원, 판결지연으로 곽노현 돕지 마라 대한민국의 법치는 이렇게 곽노현에 대한 판결 지연을 보면 충분히 망가졌다는 사실을 알 수 있다."
"327",327,"odettejoo","7/31/2012","솔직히 미국에서 김영환씨처럼 고문을 받았다고 생각해보라~ 아마 지금쯤 민노총,전교조,한대련,진보연대,통진당, 범민련, 정구사 등등 각종 종북단체들이 서울광장에서 촛불들고 난리를 칠것이다~ 그들은 도대체 어디에?? 단체로 휴가라도 가셨남?"
"328",328,"odettejoo","7/31/2012","박지원이 뭐길래 민주당 전체가 저렇게 벌벌떠는가 ?박 원내대표 체포를 막기 위한 ‘방탄 국회’를 연다는 논란을 피하기 힘들 것으로 보인다. 박지원 사수 작전..아예 작정을 했군요!!아주 작정을 하셨군"
"329",329,"subakjoo9","7/31/2012","솔직히 미국에서 김영환씨처럼 고문을 받았다고 생각해보라~ 아마 지금쯤 민노총,전교조,한대련,진보연대,통진당, 범민련, 정구사 등등 각종 종북단체들이 서울광장에서 촛불들고 난리를 칠것이다~ 그들은 도대체 어디에?? 단체로 휴가라도 가셨남?"
"330",330,"uccsns","7/31/2012","김영환은 전기고문까지 당하며 북한 인권을 논하는데 같은 주사파 출신 이석기는 부정경선으로 금뺏지 달고 국회에서 뭔짓을 하고 있는지... 진보를 죽이고 있는 이석끼...."
"331",331,"odettejoo","8/1/2012","리설주관련 긍정정 기사를 써내는 오마이뉴스같은 좌파매체들이 흘러가는 모양새가 ...딱 북한 사회에 대한 막연한 환상을 만들려는것.. 벌써 생겨나고 있는지도 모른다."
"332",332,"odettejoo","8/1/2012","몇년전 북한 로얄패밀리 출신 탈북자 이한영씨가 성형수술까지 하고 우리나라에 숨어살고 있었는데 어느날 피살 되었다.북한의 민주화를 위해 일하는 4명을 테러하겠다는 협박  좌시할순 없을듯.. 좌파정부에서특별한 조치를 취한 기억이 없다. 그냥 덮기에 급급~"
"333",333,"withmilan","8/1/2012","터키와의 FTA 체결은 유럽은 물론 중동과 아프리카 시장진출의 교두보를 얻는다는 점에서 한국의 입장에서는 남들이 부러워할만한 호재임에 틀림없다. 현 정부가 경제를 확실히 틀어쥐고 챙기겠다던 공언을 실천하는 모습에 마음도 훈훈해진다."
"334",334,"kiminhye0","8/2/2012","우리는 적화통일이 아닌 자유민주통일을 원한다. 종북좌파들이 들으면 질색하겠지만 대한민국의 품 안으로 북한이 들어오는 통일을 바란다."
"335",335,"kiminhye0","8/2/2012","진정한 진보주의자라면 폐쇄적이요 반인간적인 북한에게 '당신들 이렇게 살면 안 된다'고 따끔하게 말해줘야 한다."
"336",336,"odettejoo","8/2/2012","조금 비약하자면 이대로 우리의 경계감이 무력화 된다면 이석기, 김재연, 임수경 등의 종북 의원들이 아주 북한 전문가라면서 나설 기세!?"
"337",337,"odettejoo","8/2/2012","통진당 당원과진보세력들은 “진보인 척하면서 약자의 피를 빨아먹는 ‘양의 탈을 쓴진보’가 싫다”며탈당하겠다는 당원만 해도 수천 명에 이르러 진보당이 해체될 가능성까지 커진 상황인데도,장본인은 “진실이 승리하고 진보가 승리했다”고 주장하고 있다...?"
"338",338,"snailcharm","8/3/2012","이 땅에서 북한 추종하는 종북세력들, 저들이 북한 땅에서 태어났더라면? 목숨걸고 투쟁했을까? 그러다 정치범 수용소 끌려갔을까?"
"339",339,"odettejoo","8/4/2012","통합진보당에는 북한을 “조국”으로 여기며 반국가단체 ‘재일본 조선인 총연합회(조총련)’ 소속인 당원까지 있다고하네~ 도대체 뭔노무 당이이런지.."
"340",340,"kiminhye0","8/4/2012","햇볕이라는 당근은 결국 북한 김정일 체제유지를 더 확고하게 만든 정권연장 수단에 악용되었을 뿐 우리에게 평화를 가져다 주지 못했다. 더 이상은 좌파정권때처럼 북한 의도에 끌려다녀서는 안된다"
"341",341,"dinghoa","8/5/2012","통진당 조진호 전 대표 인터뷰에서 집단탈당 신당창당 조차도 문제해결이 아니라는 말씀... 그래도 아직 정신들 못차리고 있으니 의원직 퇴출만이 남은듯하네..."
"342",342,"kiminhye0","8/5/2012","사이버 공간의 친북,종북 행태도 위험 수위를 넘어섰다. 각종 사이트와 트위터, 유튜브 등을 통해 김일성 주체사상과 김정일 선군정치, 핵무장과 미군 철수를 지지 하는 글을 쉽게 찾아볼 수 있다."
"343",343,"kiminhye0","8/5/2012","종북좌파들에게 되묻는다. 대한민국마저 북한처럼 굶어죽는 나라로 만드는 것이 소원인가. 민노당이나 진보연대, 참여연대 등등, 정당과 사회단체에 스며든 종북 독소들은 우리의 숨통을 끊어놓으려 하고 있다"
"344",344,"kiminhye0","8/5/2012","좌파 정권 10년의 비정상적이고 굴종적인 남북관계는 반드시 원래의 위치로 환원시켜야 한다. 미국을 비롯한 국제사회와의 적극적 공조를 통해 불량국가 북한을 정상적인 국가로 국제사회에 복귀시켜야 한다"
"345",345,"kiminhye0","8/5/2012","2000년 이후 대법원에 의해 이적단체로 판결받은 단체는 남북공동선언실천연대, 한국청년단체협의회, 범민련 남측본부, 한총련, 진보와 통일로 가는 서울민주노동 자회(서민노회) 등 15개나 된다"
"346",346,"sarangni2","8/5/2012","학생들에게 김일성 회고록을 읽고 감상문을 쓰게 한 교수를 보아도 체제 전복을 꿈꾸는 세력이 분명 있습니다. 정치·사회·경제·문화 어디든 종북들이 암약한다는 얘기인데...늦었지만 검찰이 종북척결을 위해 '공공범죄수사부'를 신설한다니 다행이네요."
"347",347,"kiminhye0","8/7/2012","과거 종북좌익세력들은 민주화운동세력으로 위장했으나, 이제는 그들의 활동이 공산주의혁명운동이라는 사실을 숨기지 않는다. 이들의 사상적 근간은 주체사상과 이미 폐기처분된 맑스레닌주의이며 그 뒤에는 바로 북한이 있다"
"348",348,"kiminhye0","8/7/2012","내부의 적이라고 할 수 있는 우리사회의 친북,종북세력들은 좌파정권서 급성장 해 권력 중심까지 진출했다. 핵심세력 3만명 추종세력은 50만명이 넘는 것으로 추산되고 있다"
"349",349,"sm7520up","8/7/2012","소위 진보를 표방하는 자들은 인류보편적 가치인 인권 보호에 적극적인 모습을 보이다가도 북한주민의 인권개선과 연관되면 꼬리를 내리고 북한에 대한 내정간섭이라는 해괴한 논리로 초점을 피하는 비겁함을 더 이상 보여선 안될것입니다."
"350",350,"odettejoo","8/9/2012","대한민국이 세계 10위권의 강대국으로 진입하기 위해서는 경제적 도약과 더불어 정치문화의 후진성 극복, 종북세력 등 반국가이적세력들의 척결, 건전한 국가관과 안보관 및 준법선진의식 정착 등이 선행되어야 할 것이다."
"351",351,"odettejoo","8/9/2012","요즘 전국이 찜통더위로 전력난도 심각해지고 전국에 있는 주요 강에서 녹조현상도 심해지고 있다. 그런데 눈쌀을 찌푸리게 만드는 것은 봐로 무뇌 좌파 좀비들의 이른바 '녹차라떼' 선동이다."
"352",352,"odettejoo","8/12/2012","이 대통령은 독도를 방문한 뒤 청와대에서 동행자들과 만찬을 열고 ""이런저런 눈치를 보면 독도에 못 갈 것 같았다""면서 독도 방문 이유를 밝힌 것으로 전해졌다.

 : 맞는말이다. 아직까지 일본이 무서워 벌벌떠는 거지같은 종북친일좌파들이 많다."
"353",353,"odettejoo","8/12/2012","민노총의 언어 폭력 도를 넘다?민노초의 막장 ""골든벨""전국민주노동조합총연맹(민노총)이 주최한 공식 행사에서 사회자가 이명박 대통령을 '국민의 원수'로, 박근혜 전 새누리당 비상대책위원장을 '공천 헌금 받아 처먹은 년'이라고 지칭했다."
"354",354,"odettejoo","8/13/2012","민노총 종북벨~ 상품이 뭔줄알아??   이날 퀴즈놀이에서는 그들이 그렇게 싫어하는 미국산 아이패드가 상품으로 주어졌다 ."
"355",355,"danongsa","8/14/2012","종북쓰레기 같은 단체를 강제해산 시키지 못하니 쓰레기통에 바퀴벌레 생기듯 종북들이 계속 생겨날 수 밖에 없지 않는가요? 이적단체 강제해산법을 반드시 통과시켜 이런 바퀴벌레 같은 인간들이 모여 있는 종북단체들을 해산시켜야 하지 않을까요?"
"356",356,"odettejoo","8/15/2012","박정희도 김영삼도 김대중도 노무현 전 대통령까지 아무도 없다. 왜 안 간건지 한번 물어보고 싶다. 더우기 즉흥적 방문도 아닌 것으로 나타났다. 몇년간 심사숙고 끝에 행해진 것이다."
"357",357,"odettejoo","8/15/2012","이석기-김재연 의원의 사퇴와 당의 혁신을 전제로 ‘조건부 지지’를 내세웠던 민노총이

마침내 통진당에 완전히 등을 돌린 것..여전히 종북 노선을 고수하는 듯한 그들이 종북 통진당 철수여부를 논의한다는 것 자체가 어불성설 아닌지..."
"358",358,"kiminhye0","8/17/2012","대한민국체제와 헌정질서를 파괴하고 종북에 목숨을 거는 일파들과 결연한 투쟁 에 나서야 한다. 북한 김정일과 노동당에 충성하는 자들을 대한민국 국민으로 인정하고 그들과 함께 살아갈 수는 없다"
"359",359,"kiminhye0","8/17/2012","반정부 시위는 종북좌익들의 주특기인데 유독 미국과 연관된 일에서 강하다. 반면 금강산 관광객 피살, 천안함, 연평도 등 북한에 의해 우리 국민이 죽거나 다친 사건에 대해 저들은 단 한 번도 시위를 안했다"
"360",360,"odettejoo","8/17/2012","머리끄댕이 녀와 같이 폭력에 가담한 통합진보당 김재연 의원 보좌관 김모씨, 박씨의 도피를 도운 임모씨 등 9명을 불구속 기소했다던데... 참으로 다행~"
"361",361,"odettejoo","8/17/2012","서울중앙지검 공안1부(이상호 부장검사)는 16일 통합진보당 중앙운영위원회에서 폭력을 행사한 이른바 '머리끄덩이녀' 박모(24.여)씨를 폭력행위 등 처벌에 관한 법률 위반 혐의 등으로 구속기소했단다.. ㅋㅋㅋㅋ 도망자에서 벗어나는구만"
"362",362,"subakjoo9","8/17/2012","불법 이적단체 이번 19대 국회에선 만장일치로 이 법안이 통과됐으면 한다.
종북 의원들이 버티고 있는 상황이라서 더 힘들겠지만 종북 세력에 대한 논란이 어느 때보다 고조된 이때
통과시키지 못한다면 앞으로는 더 힘들 수도 있다."
"363",363,"kiminhye0","8/18/2012","북한의 무력도발을 막는 최선의 방법은 여론주도층이 국가안보에 대한 경각심을 심고, 남남갈등을 일으키는 친북좌파들에 대한 경계를 늦추지 않으면서 이들이 우리사회에 발을 붙이지 못하도록 경계하는 것이다"
"364",364,"kiminhye0","8/18/2012","좌파 정권 10년의 비정상적이고 굴종적인 남북관계는 반드시 원래의 위치로 환원시켜야 한다. 미국을 비롯한 국제사회와의 적극적 공조를 통해 불량국가 북한을 정상적인 국가로 국제사회에 복귀시켜야 한다"
"365",365,"odettejoo","8/19/2012","전교조 출신 백모라는 자를 당장 체포하여 김일성 부자의 찬양고무죄로 처벌하고 교사직에서 면책하기 바란다. 다시는 이런 자들이 교사직을 하는 것을  그냥 두고만 보지 말고 당장 교단에서 끌어내기 바란다."
"366",366,"odettejoo","8/19/2012","김정일에게는 '위원장'이라는 호칭을 사용하고 새누리당 박근혜 의원에게는 '공천 헌금 받아 처먹은 년' 이라는 자가 대한민국 국민이 맞는가?"
"367",367,"odettejoo","8/20/2012","곽노현 서울시교육감의 공직선거법 위반 사건에 대한 대법원확정심이 지난달 17일이던 법정 시한을 1개월 이상 어겨온 데 이어 8월 마지막 정례 선고일인 23일의 재판 목록에서도 빠진 사실이 확인되었다고?!곽노현 선고, 더 늦추면 안된다"
"368",368,"odettejoo","8/20/2012","안철수, 술 못마시고 여종업원 배석하는 술집 자체를 모른다 ?ㅎㅎ 여기저기서 증언 속출하던데.. 쫌 웃긴다..  아마도 거기 나온 여성종업원들은 여자모양의 로봇이었던가보다 ."
"369",369,"odettejoo","8/20/2012","얼마전 대통령의 독도방문을 두고,

'나쁜 통치 행위'라고 평가절하와 비판을 가했던 이 해찬 민주당 대표가

어제는 '국민에게 환영받을 만한 일'이라고 입장을 바꾸었다고..여론의 역풍을 고려한 정치적인 선회인 들, 한 목소리로 수렴되어 다행.."
"370",370,"odettejoo","8/20/2012","안철수.. 이시대의 진정한 순수남인가 ?
룸살롱에서 술을 마셨다는 증언이 계속 이어지고 있다.한 전직 고위 공직자는 ""나는 안 원장과 유흥주점에서 술을 마신 적이 있다""고 고백했다는데.. 종종 갤러리아앞 지하 술집에 갔었다고 흠.."
"371",371,"odettejoo","8/20/2012","이해찬, 민주당 후보 9월 말이면 박근혜 추월한다고 그러던데.. 이것도 말바꾸는 거 아닌지.. 대통령 독도 방문한거 여론지지율 높으니깐 잘된 방문이라고 말바꿨잖아.. 그전엔 뭐라 그랬더라. “아주 나쁜 통치행위”이라고 했다지.. ㅋㅋ 비겁하다 비겁해"
"372",372,"type0789","8/21/2012","RT @###e0789: RT @###ee3601:#KOCONRT @###gminy99: 전교조의 통일교육지침서는 북한이 경제적으로 못 사는 것은 북한이 정신적으로 지조가 있기 때문이며 북한은 못사는.."
"373",373,"odettejoo","8/22/2012","네이버의 정치적 음모가 담긴 의도적 노출이라는 잘못된 결론을 내린 안철수 지지자들이무차별적으로 보복에 나선 극단적 행동은 매우 위험하고 잘못!.

 

안 원장을 지키기 위해 아무런 문제가 없는 다른 이에게 피해를 줘도 상관없다는 생각 아닌가."
"374",374,"odettejoo","8/22/2012","하긴 룸살롱에 간 게 문제가 아니라 술을 아예 못 마시고 단란주점 자체를 모른다던 안철수가 새빨간

거짓말을 한 게 되니 문제가 크긴 크다.ㅎㅎ"
"375",375,"odettejoo","8/22/2012","심지어 술도 마실 줄 모른다고 무릎팍도사에서 고백했지만 실은 술도 잘 마신단다.

 

전직 공무원이나 기업가들의 입에서 나온 얘기로 한 언론사에 의해 퍼지기 시작했다.

급기야 ‘안철수 룸살롱’이 네이버 검색어 순위 1, 2위를 기록하기 시작했다."
"376",376,"odettejoo","8/22/2012","과거 주식시장에서 박근혜 대선 테마주로 복지 관련해 한 콘돔 제작업체가 뜬 적이 있는데 이번에

누리꾼들에 의해 강제로 검색어 상위로 올려졌다."
"377",377,"odettejoo","8/22/2012","실제로 룸살롱이 성인인증을 해야만 볼 수 있는 단어이긴 하지만 검색어가 많으면 자동으로

해제가 된다는 게 네이버측의 설명. 결국 ‘박근혜 콘돔’도 그런 식으로 검색어 1위에 오르지 않았는가."
"378",378,"odettejoo","8/22/2012","누리꾼들은 네이버가  ‘안철수 룸살롱’ 검색어에 대한 성인인증을 해제한 것이라고
? 거기에 대한 반발로 ‘박근혜 콘돔’을 치기 시작했다. 그들은 나름대로 네이버 검색어 조작에 대한 항의의 표현이라고 자위했다.
하지만 그건 오해였다."
"379",379,"odettejoo","8/22/2012","안철수 룸싸롱 감추려고 만들어진 박근혜콘돔 어이없다... 

그가 룸살롱에 드나들었다는 증언들이 곳곳에서 나오고 있다던데..그거감출라구 알바썼나보네.."
"380",380,"bestmind1","8/23/2012","주사파의 대부였던 김영환씨는 국내 종북주사파들이 천여명 정도 남았다고 밝혔네요 이들이 이번 아메리카노 커피와 노동자 민중을 운운하며 자신들이 종북임을 자뻑하다 들통이 났군요. '애국가 부정! 북한 무력도발 참기! 이게 바로 종북스타일!!"
"381",381,"dahada7","8/23/2012","후안무치하고 비양심적인 범죄가 만연하게된 건 좌파정권 10년동안에 사형제도가 폐지되고 간첩과 북한좌익사상에 감염된 종북세력들이 우리사회 젊은이들을 지금까지 교육시킨 결과가 중요 요인으로 보인다. 이런 자들을 발본색원해야 우리 사회가 바로 서지않을까?"
"382",382,"odettejoo","8/23/2012","이석기와 김재연..애국가를 부정하고 종북보다 종미가 문제이며 북한이 도발하더라도 대응해선 안된다고 말하며, 제대로 종북인증까지 해주시면서 가뜩이나 무더운 올여름 국민들 혈압까지 제대로 올려주고 계시니 국회가 나서는건 당연한일..."
"383",383,"odettejoo","8/23/2012","모기가 번식하는 웅덩이를 메우지 않으면 모기 한두마리 잡아봤자 소용없는 일...  이적단체를 그냥 놓아두면 종북들이 끊임없이 번식해서 제2, 제3의 이, 김 의원을 양성해 국회에 입성시키려 할 것이고 제2의 노수희 만들어 북한과 내통하려 할 것이다."
"384",384,"odettejoo","8/23/2012","여야가 종북 국회의원에 대한 자격심사안을 공동 발의키로 합의했다고 한다. 이들이 과연 국민의 대표로서 건전한 상식과 국가관을 갖고 있느냐를 따져보겠다는 의미인데..."
"385",385,"odettejoo","8/23/2012","이석기.. 김재연 의원... 늦은 감이 있지만 국회에서 이런 종북의원을 퇴출시키기 위한 자격심사안을 발의키로 했다니 다행이다."
"386",386,"odettejoo","8/23/2012","종북 논란의 중심에 있던 '이,김'두 의원의 퇴출은 대한민국의 정체성을 지키는 일인 만큼 국회는 당리당략을 떠나 민의를 대변하는 임무를 충실히 수행해야 할 것이다."
"387",387,"odettejoo","8/23/2012","내친김에 종북의 서식지, 이적단체를 법적으로 해산시킬 수 있는 '심재철법'도 빨리 통과시켜야 할 것이다.

 

종북의원 자격심사안과 '심재철법'이 통과될때 올 여름 국민들의 혈압을 올린 무더위가 비로소 끝나게 될 것이다."
"388",388,"subakjoo9","8/23/2012","여야가 종북 국회의원에 대한 자격심사안을 공동 발의키로 합의했다고 한다. 이들이 과연 국민의 대표로서 건전한 상식과 국가관을 갖고 있느냐를 따져보겠다는 의미인데...
진작에 이런심사가 있었어야지! 이제라도 생겨 다행~"
"389",389,"odettejoo","8/24/2012","안철수, 그가 숨겨놓은 진실-더 정확히 말하면 그를 환호하게 만들었던 ‘장식품’들이, 이미지 

관리를 위해 ‘조작’했거나 ‘거짓말’로 포장한 사실들이 하나하나씩 터져 나오고 있다."
"390",390,"odettejoo","8/24/2012","안철수의 변명 ""술집 가긴 갔는데 안마셨다""구??ㅎㅎ 웃기네.. 무릎팍 도사에서 룸사롱의 룸도 못들어 봤다고 하던 사람이... ㅎㅎ"
"391",391,"odettejoo","8/24/2012","“단란히 먹는 술집 가보셨어요. 노래방인데 좀 도와주시는 분들이 있는 곳?” 

단란주점을 돌려 말한 것. 안철수, “술을 못 마시고 여종업원이 배석하는 술집 자체를 모른다”고 말했다. 

부연한다.“술을 못 마시거든요. 뭐가 단란한 거죠?”"
"392",392,"kiminhye0","8/25/2012","평통사를 비롯하여 민노당에 침투한 친북세력과 민노총과 전교조, 한총련과 범민련, '진보연대'등은 북한의 지령에 의해 대한민국을 파괴해 온 반역세력이다"
"393",393,"kiminhye0","8/25/2012","왜곡된 선동에 의해 광우 폭동에 참여했던 사람들 대부분은 폭동을 주도했던 진보연대가 북한식 사회주의를 중심으로 연방제 통일을 하는 것을 공식적인 목표로 삼고 활동하는 단체라는 것은 모르고 있었다"
"394",394,"subakjoo9","8/27/2012","현재 암적존재 이적단체가 우리사회 곳곳에 종북세력을 전이시키는 지금, 
대한민국을 지킬 방법은 이적단체 강제 해산법을 마련해 우리사회에서 이들을 몰아내는 것 뿐이다"
"395",395,"kiminhye0","8/28/2012","천안함, 연평도 등 계속되는 북한의 도발을 보면 그동안 좌파정권이 퍼준 자금(국민세금)이 총알이 되어 우리 선량한 국민 가슴에 박혔다는 사실을 알 수 있다"
"396",396,"kiminhye0","8/28/2012","9.11때 미국은 정치인, 군인, 민간인, 단체 등 온국민이 하나가되어 움직이는 강한 면모를 보였다. 그러나 우리는 천안함,연평도 사건이 터졌을때 모든 좌파인사와 좌파단체들이 약속이라도 한 듯 북한편을 들었다"
"397",397,"falltoland","8/29/2012","우리의 주적 북한이 요즘처럼 짖어댈때 대한민국의 종북좌빨들 솎아내서 처치해야 한다 깨끗하게...."
"398",398,"falltoland","8/29/2012","좌파들은 우리 경제 상황 및 정부의 경제운용 능력에 대해 비판하지만 정작 다른나라를 우리를 글로벌 금융위기와 유럽 재정위기에 안정적으로 대응하고 있는 나라로 꼽는다."
"399",399,"kiminhye0","8/29/2012","친북종북 세력들은 정부의 대북정책을 비난하기 앞서 북한 핵무장에 대해 국민 들의 눈과 귀를 막고 북한의 핵개발을 도운 책임에 대해 국민 앞에 사죄해야 함이 마땅하다"
"400",400,"odettejoo","8/30/2012","신동아 9월호에서 급기야 안철수 원장과 함께 룸살롱을 함께 간 고위 공직자 등등의 증언을
 소개하는 해프닝이 벌어졌다. 그러나 그 보다 더 확실한 증언은 안철수 연구소 직원들의 자발적 
증언이다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"401",401,"odettejoo","8/30/2012","“단란히 먹는 술집 가보셨어요. 노래방인데 좀 도와주시는 분들이 있는 곳?” 
안철수 원장은 “술을 못 마시고 여종업원이 배석하는 술집 자체를 모른다”고 말했다. 부연한다.
“술을 못 마시거든요. 뭐가 단란한 거죠?'

헐~~~`````````````"
"402",402,"hatkadak","8/31/2012","좌파단체, 지하철 9호선 관련 대통령이 서울시장 재직시 메트로에 특혜줬다 고발..메트로의 최대 주주는 현대로템, 출자사도 맥쿼리 24.5%,신한은행 14.9%, 포스코ICT 10.2% 등 13개나 되는데.굳이 외국회사 맥쿼리만 걸고 넘어지는게 수상쩍다"
"403",403,"kiminhye0","8/31/2012","9.11때 미국은 정치인, 군인, 민간인, 단체 등 온국민이 하나가되어 움직이는 강한 면모를 보였다. 그러나 우리는 천안함,연평도 사건이 터졌을때 모든 좌파인사와 좌파단체들이 약속이라도 한 듯 북한편을 들었다"
"404",404,"subakjoo9","8/31/2012","국가보안법을 폐지를 주장하는 자들은 ‘천안함 폭침 부정’, ‘북핵 정당화’, ‘김정일 추종’, ‘북한의 입장을 대변’ 하는 ‘종북세력’ 임을 알 수 있다."
"405",405,"kiminhye0","9/1/2012","좌파 정권 10년의 비정상적이고 굴종적인 남북관계는 반드시 원래의 위치로 환원시켜야 한다. 미국을 비롯한 국제사회와의 적극적 공조를 통해 불량국가 북한을 정상적인 국가로 국제사회에 복귀시켜야 한다"
"406",406,"dinghoa","9/2/2012","김영환은 주사파에서 전향하여 북한인권을 위해 목숨바쳐 뛰고 있네요. 아직도 정신 못차린 종북 주사파 분들 이젠 정신차리시고, 북한인권 제대로 봐주셨으면 합니다."
"407",407,"gehsteig","9/2/2012","싸이 강남스타일 조회 9천만 돌파! 이 와중에 웬 강정스타일?! 사이비 신부와 상습데모꾼들이 불법 시위를 미화하며 천박한 춤을 춘다고 강정스타일이  강남스타일로 바뀔것 같은가? 해군을 해적이라 부르며 거짓 평화를 주장한다면 ‘오빤 종북스타일’이 맞다."
"408",408,"kodeksjoker","9/2/2012","장군님 상중이니 술은 자제하라!! 애국가를 부정하는 종북당 국회의원이 당원들 회식자리에서 한 말이라죠. 하긴 김정일 상중에 술을 마셨다는 이유로 인민무력부 부부장이 박격포로 처형당했다는데 종북들은 북한으로 불려가 참형당할지 모르니 자중하는게 맞겠네요."
"409",409,"shore0987","9/2/2012","종북당에서 당연한 일이고 우리 국민이 봐서는 헤궤한 사건이 발생 했네요, 장군님 상중에는 술을 마시지 말라고?? 우리 대통령은 그렇게 쌍욕을 해대면서 장군님 상중에는 술을 마시지 말라?? 역시 종북당은 종북의 꽃을 보여주는구나, 장군님은 누구??"
"410",410,"dahada7","9/3/2012","반미를 외치고 남한보다 북한이 더 정통성을 가졌다고 생각하며 6.25는 북침이라고 믿는 학생들이 늘어나고 있는 것은 비극입니다. 바로 전교조가 이렇게 만들고 있습니다!"
"411",411,"janggoon702","9/3/2012","야권연대에 참여한 노수희가 김정일을  ‘민족의 아버지’ “민족의 가장 큰  상실이며 최대의 슬픔이었다”고 주장한 것이나 통진당의원이 ‘장군님 상중이니 술을 자제하라’는 말은 일맥상통한다 백주대낮에 대놓고 빨갱이짓 하는 의원에게 혈세 낭비라니 한심하다"
"412",412,"typebromeo","9/3/2012","한 여론조사에서 응답자 87%가 이적행위자 공직임용 제한에 동의하고 이적단체 해산에 67%가 찬성했다 북한의 천안함 연평도 도발로 안보의식이 고취되고 통진당 사태로 증폭돼 국민대다수가 이적단체 해산 필요성에 공감하는만큼 ‘이적단체해산법’ 제정 시급하다"
"413",413,"gubonsu","9/4/2012","가제는 개편이라고 종북당 종북이 3마리와 야당 1마리가 김영환 고문에 대한 법안에 반대를 했단다, 종북당의 극치를 보여주고 종북성향의 진면모를 다시한번 보는구나, 종북아 니가 중국에가서 고문한번 당해볼래???그래야 정신들 차릴텐가??"
"414",414,"kiminhye0","9/4/2012","반정부 시위는 종북좌익들의 주특기인데 유독 미국과 연관된 일에서 강하다. 반면 금강산 관광객 피살, 천안함, 연평도 등 북한에 의해 우리 국민이 죽거나 다친 사건에 대해 저들은 단 한 번도 시위를 안했다"
"415",415,"kiminhye0","9/4/2012","진정한 진보주의자라면 폐쇄적이요 반인간적인 북한에게 '당신들 이렇게 살면 안 된다'고 따끔하게 말해줘야 한다."
"416",416,"kiminhye0","9/4/2012","과거 종북좌익세력들은 민주화운동세력으로 위장했으나, 이제는 그들의 활동이 공산주의혁명운동이라는 사실을 숨기지 않는다. 이들의 사상적 근간은 주체사상과 이미 폐기처분된 맑스레닌주의이며 그 뒤에는 바로 북한이 있다"
"417",417,"kiminhye0","9/4/2012","내부의 적이라고 할 수 있는 우리사회의 친북,종북세력들은 좌파정권서 급성장 해 권력 중심까지 진출했다. 핵심세력 3만명 추종세력은 50만명이 넘는 것으로 추산되고 있다"
